Reactor_Cost,XTOL,Diameter(ft),Length(ft),installation_cost,total_capital_investment,annual_capital_investment,catalyst_cost,annual_catalyst_cost,annual_reactor_cost,Reactor_Heating_Cost,XTOL,installation_cost,total_capital_investment,annual_capital_investment,annual_reactor_heating_cost,Water_Cost,XTOL,volume_flowrate,annual_water_cost,Furnace_Cost,XTOL,annual_operating_cost,installation_cost,total_capital_investment,annual_capital_investment,annual_furnace_cost,Pump_Cost,XTOL,annual_operating_cost,installation_cost,total_capital_investment,annual_capital_investment,annual_pump_cost,Economic Potential 2,XTOL,TOLCOST,BENZCOST,METHCOST,PXYLCOST,MXYLCOST,OXYLCOST,ETHCOST,economic_potential_2,Economic Potential 3,XTOL,economic_potential_2,annual_reactor_cost,annual_reactor_heating_cost,annual_furnace_cost,annual_pump_cost,annual_water_cost,economic_potential_3
,0.0445097205,3.05133,30.513300000000005,150676.19390898803,315817.30243323895,105272.43414441298,5006.859416093619,425061.50251211453,530333.9366565275,,0.0445097205,194402.95423469174,406302.1743505057,135434.05811683522,135434.05811683522,,0.0445097205,770721.1900266423,6258.256063016334,,0.0445097205,21429196.208534665,27804524.284950554,58111455.75554665,19370485.251848884,40799681.46038355,,0.0445097205,28134.703653358938,40590.65841974063,84834.47609725791,28278.15869908597,56412.86235244491,,0.0445097205,-9931.591037568001,1744.45566683263,-1578.4874440775993,17680.9637732528,286.31201422655994,274.041499331136,46.94299567811983,69459495.3615565,,0.0445097205,69459495.3615565,530333.9366565275,135434.05811683522,40799681.46038355,56412.86235244491,6258.256063016334,27931374.787984114
,0.0637612358,3.1770820484740003,31.770820484740003,162483.01292359832,340564.3950878621,113521.46502928736,5651.752727020288,479810.2575543265,593331.7225836138,,0.0637612358,198651.78902257758,415182.2390571871,138394.07968572903,138394.07968572903,,0.0637612358,796788.1546846916,6469.9198160396945,,0.0637612358,15669221.685977101,21308397.073433917,44534549.88347688,14844849.961158961,30514071.647136062,,0.0637612358,20573.44539567671,33401.102648490225,69808.30453534456,23269.434845114854,43842.880240791565,,0.0637612358,-10398.026420864,1929.90156797577,-1740.890391444,17680.97170022,461.9222141548,442.12554783388,75.73560094332612,68881679.52338119,,0.0637612358,68881679.52338119,593331.7225836138,138394.07968572903,30514071.647136062,43842.880240791565,6469.9198160396945,37585569.27391896
,0.0809394889,3.3080166070600003,33.0801660706,175215.0002038476,367250.64042726456,122416.88014242152,6379.709505783056,541610.7549180406,664027.6350604622,,0.0809394889,203237.2189331896,424765.7875703662,141588.59585678874,141588.59585678874,,0.0809394889,825258.8618449576,6701.101958181054,,0.0809394889,12965637.766002817,18139915.98914046,37912424.417303555,12637474.805767851,25603112.571770668,,0.0809394889,17024.527122414922,29663.821587267437,61997.38711738894,20665.795705796314,37690.32282821124,,0.0809394889,-10916.880961480801,2138.37782894067,-1920.4703422992,17680.9780974216,656.52300916944,628.386308776464,107.64185637898599,68252629.74479336,,0.0809394889,68252629.74479336,664027.6350604622,141588.59585678874,25603112.571770668,37690.32282821124,6701.101958181054,41799509.51731905
,0.0964898015,3.4443473082300002,34.4434730823,188944.65594043024,396027.9988511418,132009.33295038057,7201.4287928989515,611371.2985638172,743380.6315141977,,0.0964898015,208201.19716072443,435140.50206591404,145046.83402197133,145046.83402197133,,0.0964898015,856472.1412484898,6954.553786937737,,0.0964898015,11455825.30681336,16327996.359470604,34125512.39129356,11375170.797097854,22830996.103911214,,0.0964898015,15042.73779211599,27440.762717279027,57351.194079113164,19117.06469303772,34159.802485153705,,0.0964898015,-11493.9396766896,2371.61006443943,-2118.9761301959998,17680.9643295312,872.1096251951999,834.7334984011201,142.9888937384476,67559348.42602137,,0.0964898015,67559348.42602137,743380.6315141977,145046.83402197133,22830996.103911214,34159.802485153705,6954.553786937737,43798810.50030189
,0.110432809,3.58629645942,35.8629645942,203750.14817825108,427060.31058161426,142353.4368605381,8128.98688465898,690117.1157288613,832470.5525893994,,0.110432809,213576.57086450706,446375.0331068197,148791.67770227324,148791.67770227324,,0.110432809,890726.9766037231,7232.703050022232,,0.110432809,10572857.217040619,15251901.156008303,31876473.416057352,10625491.138685783,21198348.355726402,,0.110432809,13883.908807834488,26086.420488316227,54520.61882058091,18173.5396068603,32057.448414694787,,0.110432809,-12135.7117525632,2632.3275944044894,-2338.367329224,17680.974481612004,1110.9157033463998,1063.30503034584,182.1429366678652,66794031.3164036,,0.110432809,66794031.3164036,832470.5525893994,148791.67770227324,21198348.355726402,32057.448414694787,7232.703050022232,44575130.578920804
,0.123378006,3.73409566642,37.3409566642,219715.7842471133,460524.2837819495,153508.09459398314,9176.016403692523,779005.5592718133,932513.6538657964,,0.123378006,219377.49559167842,458498.9657866079,152832.98859553595,152832.98859553595,,0.123378006,928217.8938091263,7537.1292977301055,,0.123378006,10019228.472612284,14570337.3767327,30452005.11737134,10150668.372457113,20169896.845069397,,0.123378006,13162.987182699058,25220.988182817047,52711.86530208762,17570.62176736254,30733.6089500616,,0.123378006,-12848.210772542401,2924.3420130410996,-2580.2362120392004,17680.9755941688,1374.8603421056,1315.93775601536,225.41863337960243,65958661.936150216,,0.123378006,65958661.936150216,932513.6538657964,152832.98859553595,20169896.845069397,30733.6089500616,7537.1292977301055,44665147.71037169
,0.135410053,3.8879859843,38.879859843,236932.4674661396,496610.45180902863,165536.8172696762,10357.90521684583,879342.9949718075,1044879.8122414837,,0.135410053,225641.7665336316,471591.29205529,157197.09735176334,157197.09735176334,,0.135410053,969306.9950444339,7870.772799760802,,0.135410053,9690915.65531755,14163499.173651975,29601713.272932626,9867237.757644208,19558153.41296176,,0.135410053,12737.74968609308,24701.613413000206,51626.37203317043,17208.790677723475,29946.540363816555,,0.135410053,-13639.917305912802,3250.50421193546,-2847.2119522056,17680.660184316,1666.9499226071998,1595.50921163832,273.308905075179,65035395.89624811,,0.135410053,65035395.89624811,1044879.8122414837,157197.09735176334,19558153.41296176,29946.540363816555,7870.772799760802,44237348.260529526
,0.146692814,4.0482184751800006,40.482184751800006,255498.2323377631,535524.2949799515,178508.09832665048,11692.023732558682,992604.0981286798,1171112.1964553304,,0.146692814,232399.36383432715,485714.6704137437,161904.89013791457,161904.89013791457,,0.146692814,1014325.6645529139,8236.324396169659,,0.146692814,9521771.337566948,13953095.141045624,29161968.84478535,9720656.281595116,19242427.619162064,,0.146692814,12521.569669804372,24434.919518384006,51068.981793422565,17022.993931140853,29544.563600945225,,0.146692814,-14519.401832172001,3616.26124559914,-3141.6575490648,17680.974481612004,1989.8639869472,1904.5841017923199,326.25307985919335,64033551.7437704,,0.146692814,64033551.7437704,1171112.1964553304,161904.89013791457,19242427.619162064,29544.563600945225,8236.324396169659,43420326.15001797
,0.157432445,4.21505450352,42.150545035200004,275518.7902271968,577487.3843162046,192495.79477206818,13197.979354896434,1120453.4556500618,1312949.25042213,,0.157432445,239659.88592220715,500889.1615774129,166963.05385913764,166963.05385913764,,0.157432445,1063486.2918190476,8635.508689570666,,0.157432445,9467631.163377706,13885630.385635717,29020967.505978648,9673655.835326215,19141286.99870392,,0.157432445,12456.567048040744,24354.368627243894,50900.63043093973,16966.876810313242,29423.44385835399,,0.157432445,-15494.828073259201,4023.7086366926496,-3465.7603503479995,17680.975872307998,2346.3365702111996,2245.77928863072,384.6994250495443,62925427.659672044,,0.157432445,62925427.659672044,1312949.25042213,166963.05385913764,19141286.99870392,29423.44385835399,8635.508689570666,42266169.40413894
,0.167811407,4.388766195460001,43.8876619546,297108.13456333877,622738.6500447581,207579.55001491937,14897.904838437993,1264770.0461798923,1472349.5961948116,,0.167811407,247455.76452269894,517182.54785244074,172394.18261748023,172394.18261748023,,0.167811407,1117171.7310691155,9071.434456281217,,0.167811407,9501420.327309985,13927742.25672263,29108981.316550292,9702993.77218343,19204414.099493414,,0.167811407,12507.275291603344,24417.220377947866,51031.99058991104,17010.663529970345,29517.93882157369,,0.167811407,-16576.8002338088,4479.696959575,-3822.4958775336,17680.9764285864,2739.8269926047997,2622.4058357788804,449.21512252373265,61718525.605970256,,0.167811407,61718525.605970256,1472349.5961948116,172394.18261748023,19204414.099493414,29517.93882157369,9071.434456281217,40830778.354386695
