Reactor_Cost,XTOL,Diameter(ft),Length(ft),installation_cost,total_capital_investment,annual_capital_investment,catalyst_cost,annual_catalyst_cost,annual_reactor_cost,Reactor_Heating_Cost,XTOL,installation_cost,total_capital_investment,annual_capital_investment,annual_reactor_heating_cost,Water_Cost,XTOL,volume_flowrate,annual_water_cost,Furnace_Cost,XTOL,annual_operating_cost,installation_cost,total_capital_investment,annual_capital_investment,annual_furnace_cost,Pump_Cost,XTOL,annual_operating_cost,installation_cost,total_capital_investment,annual_capital_investment,annual_pump_cost,Economic Potential 2,XTOL,TOLCOST,BENZCOST,METHCOST,PXYLCOST,MXYLCOST,OXYLCOST,ETHCOST,economic_potential_2,Economic Potential 3,XTOL,selectivity,economic_potential_2,annual_reactor_cost,annual_reactor_heating_cost,annual_furnace_cost,annual_pump_cost,annual_water_cost,economic_potential_3
,0.056012,1.47645,14.7645,38825.71561812708,81378.69993559436,27126.233311864784,567.2233402475904,48154.898156436066,75281.13146830085,,0.056012,205705.88964312163,429925.3093541242,143308.43645137473,143308.43645137473,,0.056012,840731.0619370781,6826.736222929074,,0.056012,14888455.70145342,20402466.57422102,42641155.14012193,14213718.380040642,29102174.081494063,,0.056012,19593.727309953774,32397.08821445475,67709.91436821042,22569.97145607014,42163.69876602391,,0.056012,-8700.42011688,705.098087357,-1602.523322136,17680.97517696,136.956570128,131.08700283680002,22.455050713574614,68245071.85918193,,0.056012,0.9155684354956033,68245071.85918193,75281.13146830085,143308.43645137473,29102174.081494063,42163.69876602391,6826.736222929074,38875317.77477924
,0.097008,1.545380529,15.453792166000001,42280.17282436914,88619.24223987773,29539.747413292574,650.4348460410689,55219.20828369492,84758.9556969875,,0.097008,210260.16881184126,439443.7528167482,146481.25093891606,146481.25093891606,,0.097008,869537.4614935191,7060.644187327374,,0.097008,8895116.367705867,13168592.502428655,27522358.330075886,9174119.443358628,18069235.811064497,,0.097008,11707.8630444437,23414.122235665676,48935.51547254126,16311.838490847085,28019.701535290784,,0.097008,-8992.90712152,771.649361746,-1745.2061954639996,17680.97517696,275.423457344,263.6195948864,45.157735271067025,67634502.87517126,,0.097008,0.8857910003774812,67634502.87517126,84758.9556969875,146481.25093891606,18069235.811064497,28019.701535290784,7060.644187327374,49298946.51174824
,0.131223,1.617526438,16.175267661,46041.908580729396,96503.84038520882,32167.946795069605,745.8510613301298,63319.647394172476,95487.59418924208,,0.131223,215232.38188380102,449835.6781371441,149945.2260457147,149945.2260457147,,0.131223,901373.1340335709,7319.149848352595,,0.131223,6822393.275503879,10510096.604764745,21966101.903958313,7322033.967986104,14144427.243489984,,0.131223,8980.753480518219,19764.213573453882,41307.206368518615,13769.068789506204,22749.822270024422,,0.131223,-9320.8695004,847.9402423339999,-1904.490684504,17680.97517696,430.19580928799996,411.7588460328,70.53379298287031,66960756.0139534,,0.131223,0.8546237236287487,66960756.0139534,95487.59418924208,149945.2260457147,14144427.243489984,22749.822270024422,7319.149848352595,52540826.9781101
,0.16,1.693041934,16.930422621,50138.37038851402,105090.0243343254,35030.0081114418,855.2657680867178,72608.50010319531,107638.50821463711,,0.16,220695.29652078793,461253.16972844675,153751.0565761489,153751.0565761489,,0.16,936809.9176236052,7606.896531103674,,0.16,5834842.0333428485,9202063.108132148,19232311.895996187,6410770.631998729,12245612.665341578,,0.16,7681.497815284535,17870.076671381405,37348.46024318713,12449.486747729043,20130.98456301358,,0.16,-9689.15050048,934.836875289,-2082.5629681679998,17680.97517696,603.4134399999999,577.5528639999999,99.104360316,66211979.37052356,,0.16,0.8221392771740993,66211979.37052356,107638.50821463711,153751.0565761489,12245612.665341578,20130.98456301358,7606.896531103674,53677239.25929707
,0.183463,1.7720845049999998,17.720835207,54599.36268737865,114440.26419274566,38146.754730915214,980.7332595115951,83260.16734395312,121406.92207486833,,0.183463,226667.03931443498,473734.11216716905,157911.37072238966,157911.37072238966,,0.183463,976091.1931068037,7925.860488027245,,0.183463,5294176.733733144,8472062.280703815,17706610.16667097,5902203.388890323,11196380.122623466,,0.183463,6974.204714738186,16785.014884615874,35080.68110884717,11693.560369615723,18667.76508435391,,0.183463,-10101.09590944,1032.666658676,-2280.668691168,17680.97517696,796.4864196799999,762.3512874080001,130.58996805663983,65373635.01790702,,0.183463,0.7886100868793783,65373635.01790702,121406.92207486833,157911.37072238966,11196380.122623466,18667.76508435391,7925.860488027245,53871342.976913914
,0.203611,1.8548149200000001,18.548145919,59457.17603246095,124622.24096403815,41540.74698801272,1124.603745792221,95474.17216881875,137014.91915683146,,0.203611,233197.41404689412,487382.5953580087,162460.86511933623,162460.86511933623,,0.203611,1019689.3149209986,8279.877237158507,,0.203611,4988887.644711976,8054964.572949094,16834875.957463603,5611625.3191545345,10600512.96386651,,0.203611,6576.42760287636,16155.430247613129,33764.84921751144,11254.949739170479,17831.37734204684,,0.203611,-10562.36349184,1144.328199918,-2501.265661128,17680.989083919998,1011.78611856,968.4238563360001,165.88987392347255,64448472.03446919,,0.203611,0.7541720471009781,64448472.03446919,137014.91915683146,162460.86511933623,10600512.96386651,17831.37734204684,8279.877237158507,53522372.031747304
,0.220616,1.941407072,19.414080563000002,64747.17943966871,135710.0881055456,45236.69603518187,1289.5788524687946,109479.87132938205,154716.56736456393,,0.220616,240325.75650559439,502280.83109669224,167426.9436988974,167426.9436988974,,0.220616,1068035.5190063915,8672.448414331899,,0.220616,4829723.5412073005,7835999.526139268,16377239.009631068,5459079.6698770225,10288803.211084323,,0.220616,6370.861153547359,15824.105300959889,33072.380079006165,11024.126693002054,17394.98784654941,,0.220616,-11078.548357040001,1270.7978583929998,-2746.700891352,17680.97517696,1251.7336215999999,1198.08789496,205.23110313574512,63419847.714252464,,0.220616,0.7190310468242265,63419847.714252464,154716.56736456393,167426.9436988974,10288803.211084323,17394.98784654941,8672.448414331899,52782833.5558438
,0.235173,2.0320446970000003,20.320443689,70507.9555397049,147784.67481122148,49261.55827040716,1478.7595414629657,125540.52357211635,174802.0818425235,,0.235173,248084.69681424566,518497.0163417734,172832.33878059112,172832.33878059112,,0.235173,1121543.0234789867,9106.92935064937,,0.235173,4766815.793915255,7749159.215593771,16195742.76059098,5398580.920196993,10165396.714112248,,0.235173,6292.025826845993,15695.909863909128,32804.45161557008,10934.817205190026,17226.84303203602,,0.235173,-11655.540093840002,1413.918139647,-3019.2972882480003,17680.97517696,1518.7277201599998,1453.639389296,249.0067696560443,62277652.98109299,,0.235173,0.6834374106025463,62277652.98109299,174802.0818425235,172832.33878059112,10165396.714112248,17226.84303203602,9106.92935064937,51738288.07397494
,0.247703,2.126911531,21.269121872,76781.19903883414,160933.39318539636,53644.46439513212,1695.6892691819949,143956.95358159643,197601.41797672855,,0.247703,256518.0410251085,536122.7057424767,178707.56858082558,178707.56858082558,,0.247703,1180731.7161805285,9587.541535385892,,0.247703,4776012.604341639,7761865.529313372,16222298.956264947,5407432.985421648,10183445.589763287,,0.247703,6308.23324032382,15722.317237275964,32859.643025906764,10953.21434196892,17261.44758229274,,0.247703,-12300.343553600003,1576.6550756549998,-3321.9429310080004,17680.94736304,1815.7260318399997,1737.9092019040002,297.7018241541831,61016222.04767921,,0.247703,0.6476094610352326,61016222.04767921,197601.41797672855,178707.56858082558,10183445.589763287,17261.44758229274,9587.541535385892,50429618.482240684
,0.258633,2.226207715,22.262086993,83612.5956621197,175252.00050780288,58417.33350260096,1944.4424911539043,165075.06565525333,223492.3991578543,,0.258633,265664.2759623481,555238.3367613074,185079.44558710247,185079.44558710247,,0.258633,1246118.365134951,10118.4811248958,,0.258633,4841857.032798218,7852729.493356529,16412204.641115144,5470734.880371714,10312591.913169932,,0.258633,6399.2096326626215,15870.047931585164,33168.40017701299,11056.133392337662,17455.343025000286,,0.258633,-13020.446032720001,1761.035292855,-3657.570825312,17680.97517696,2145.76122936,2053.800033816,351.8136180507012,59620253.21802906,,0.258633,0.6117941735990414,59620253.21802906,223492.3991578543,185079.44558710247,10312591.913169932,17455.343025000286,10118.4811248958,48871515.635964274
